File,radius,Mean Intensity
7.oib,35.9853,11.0061
7.oib,34.9853,10.2084
7.oib,33.9853,9.2141
7.oib,32.9853,9.034
7.oib,31.9853,7.5108
7.oib,30.9853,7.4614
7.oib,29.9853,7.9058
7.oib,28.9853,6.4702
7.oib,27.9853,7.6316
7.oib,26.9853,5.9525
7.oib,25.9853,5.6843
7.oib,24.9853,4.3948
7.oib,23.9853,3.1419
7.oib,22.9853,2.1332
8.oib,88.171,39.8137
8.oib,87.171,37.8814
8.oib,86.171,38.8298
8.oib,85.171,39.5038
8.oib,84.171,39.132
8.oib,83.171,40.5438
8.oib,82.171,39.3444
8.oib,81.171,40.2089
8.oib,80.171,42.4278
8.oib,79.171,42.095
8.oib,78.171,42.3417
8.oib,77.171,42.8717
8.oib,76.171,45.1948
8.oib,75.171,42.6093
8.oib,74.171,45.5091
8.oib,73.171,44.341
8.oib,72.171,45.2587
8.oib,71.171,47.3833
8.oib,70.171,43.4066
8.oib,69.171,46.1574
8.oib,68.171,44.3204
8.oib,67.171,42.3961
8.oib,66.171,47.5875
8.oib,65.171,46.0642
8.oib,64.171,44.8575
8.oib,63.171,46.5013
8.oib,62.171,49.5111
8.oib,61.171,48.9335
8.oib,60.171,56.0667
8.oib,59.171,69.3259
8.oib,58.171,75.5233
8.oib,57.171,70.7089
8.oib,56.171,86.5757
8.oib,55.171,138.1604
8.oib,54.171,65.6158
8.oib,53.171,70.6603
8.oib,52.171,79.1182
8.oib,51.171,36.2051
8.oib,50.171,37.1547
8.oib,49.171,42.4474
8.oib,48.171,24.2177
8.oib,47.171,23.1566
8.oib,46.171,25.0736
8.oib,45.171,26.9491
8.oib,44.171,19.6209
8.oib,43.171,18.6718
8.oib,42.171,20.7409
8.oib,41.171,16.5143
8.oib,40.171,16.087
8.oib,39.171,15.7365
8.oib,38.171,14.3979
8.oib,37.171,13.6628
8.oib,36.171,14.4897
8.oib,35.171,11.3173
8.oib,34.171,11.7457
8.oib,33.171,9.7783
8.oib,32.171,10.5902
8.oib,31.171,10.3784
8.oib,30.171,9.013
8.oib,29.171,9.0499
8.oib,28.171,8.7015
8.oib,27.171,8.064
8.oib,26.171,8.0678
8.oib,25.171,6.5019
8.oib,24.171,6.3774
8.oib,23.171,4.9446
8.oib,22.171,4.1271
8.oib,21.171,2.4864
9.oib,72.7867,66.1601
9.oib,71.7867,64.7455
9.oib,70.7867,67.5213
9.oib,69.7867,66.6346
9.oib,68.7867,65.0346
9.oib,67.7867,64.8208
9.oib,66.7867,58.8316
9.oib,65.7867,59.8473
9.oib,64.7867,64.7591
9.oib,63.7867,64.6213
9.oib,62.7867,62.9716
9.oib,61.7867,60.5608
9.oib,60.7867,58.6413
9.oib,59.7867,58.0549
9.oib,58.7867,60.8539
9.oib,57.7867,57.349
9.oib,56.7867,52.684
9.oib,55.7867,52.313
9.oib,54.7867,51.0573
9.oib,53.7867,51.9806
9.oib,52.7867,54.82
9.oib,51.7867,63.0146
9.oib,50.7867,69.5753
9.oib,49.7867,72.1563
9.oib,48.7867,68.7694
9.oib,47.7867,77.0423
9.oib,46.7867,41.0131
9.oib,45.7867,42.0465
9.oib,44.7867,43.9977
9.oib,43.7867,23.2277
9.oib,42.7867,22.6703
9.oib,41.7867,24.2816
9.oib,40.7867,15.7033
9.oib,39.7867,17.1804
9.oib,38.7867,15.8999
9.oib,37.7867,13.3368
9.oib,36.7867,12.7312
9.oib,35.7867,13.0815
9.oib,34.7867,10.7319
9.oib,33.7867,10.584
9.oib,32.7867,10.5678
9.oib,31.7867,8.9698
9.oib,30.7867,9.0047
9.oib,29.7867,7.8576
9.oib,28.7867,7.4042
9.oib,27.7867,7.732
9.oib,26.7867,6.3733
9.oib,25.7867,6.4055
9.oib,24.7867,5.3776
9.oib,23.7867,5.3299
9.oib,22.7867,4.1432
9.oib,21.7867,4.0939
9.oib,20.7867,3.1044
9.oib,19.7867,2
